ciclos,clave,nombre,creditos,tipo,plan,preespecialidad
1,ID0101,Diseño de patrones para datos estructurados,8,Basica,2021ID,NA
1,ID0102,Física clásica,6,Basica,2021ID,NA
1,ID0103,Organización y diseño de computadoras,8,Basica,2021ID,NA
1,IT0161,Sistemas operativos POSIX,6,Basica,2021ID,NA
2,DP0295,Taller de formación en responsabilidad social y ambiental,6,Basica,2021ID,NA
2,DP0396,Identidad y cultura,6,Basica,2021ID,NA
2,II0322,Álgebra lineal,6,Basica,2021ID,NA
2,II0319,Probabilidad y estadística,8,Basica,2021ID,NA
2,ID0207,Probabilidad y estadística,8,Basica,2021ID,NA
2,II0320,Ecuaciones diferenciales,8,Basica,2021ID,NA
2,IA0209,Ecuaciones diferenciales,8,Basica,2021ID,NA
2,IL0204,Estadística analítica,8,Basica,2021ID,NA
2,IT0107,Técnicas algorítmicas,6,Basica,2021ID,NA
2,ID0208,Técnicas algorítmicas,6,Basica,2021ID,NA
2,IT0210,Programación orientada a objetos,6,Basica,2021ID,NA
2,ID0204,Bases de datos,8,Basica,2021ID,NA
2,ID0205,Geometría computacional,6,Basica,2021ID,NA
2,ID0308,Análisis de grandes volúmenes de datos,8,Basica,2021ID,NA
2,ID0265,Programación web,6,Basica,2021ID,NA
2,PID0201,Prácticas profesionales I,10,Basica,2021ID,NA
3,DP0497,Problemas del mundo contemporáneo,6,Basica,2021ID,NA
3,DP0498,Problemas de México,6,Basica,2021ID,NA
3,IT0425,Introducción a la inteligencia artificial,6,Basica,2021ID,NA
3,ID0307,Ingeniería de software,6,Basica,2021ID,NA
3,IT0263,Electrónica analógica,6,Basica,2021ID,NA
3,IT0208,Electrónica digital,8,Basica,2021ID,NA
3,ID0309,Aprendizaje estadístico,6,Basica,2021ID,NA
3,ID0310,Minería de datos,8,Basica,2021ID,NA
3,ID3470,Programación de aplicaciones de red,6,Basica,2021ID,NA
3,ID0311,Aprendizaje profundo,6,Basica,2021ID,NA
3,PID0302,Prácticas profesionales II,10,Basica,2021ID,NA
4,DP0499,Seminario de investigación,6,Basica,2021ID,NA
4,IT0427,Proyecto terminal,6,Basica,2021ID,NA
4,IT0423,Administración de proyectos de desarrollo de software,6,Basica,2021ID,NA
4,ID0411,Cómputo de alto desempeño,8,Basica,2021ID,NA
4,ID0412,Métodos de desarrollo de software,8,Basica,2021ID,NA
4,ID0413,Procesamiento de datos en la nube,6,Basica,2021ID,NA
4,ID0414,Seguridad de datos,8,Basica,2021ID,NA
4,ID0415,Sistemas distribuidos,6,Basica,2021ID,NA
4,PID0403,Prácticas profesionales preespecialidad: Inteligencia organizacional y de negocios,10,Basica,2021ID,NA
4,PID0404,Prácticas Profesionales preespecialidad: Innovación en TIC,10,Basica,2021ID,NA
1,IT0264,Introducción a los sistemas de información,6,Elección libre,2021ID,NA
1,ID0263,Sistemas de planificación de recursos empresariales,6,Elección libre,2021ID,NA
1,ID0160,Pensamiento crítico para ingeniería,6,Elección libre,2021ID,NA
1,ID0161,Recursos de comunicación para la era digital,6,Elección libre,2021ID,NA
2,ID0262,Contabilidad y costos para ingeniería,6,Elección libre,2021ID,NA
2,ID0264,Innovación disruptiva,6,Elección libre,2021ID,NA
2,IL3422,Liderazgo y equipos de trabajo,6,Elección libre,2021ID,NA
2,NI0423,Planeación estratégica,6,Elección libre,2021ID,NA
4,ID3466,Gobierno de datos y redes sociales,6,Elección libre,2021ID,NA
4,IL0414,Taller de argumentación y técnicas de negociación,6,Elección libre,2021ID,NA
4,IT0317,Diseño de interfaces humano-máquina,6,Elección libre,2021ID,NA
4,ID3467,Graficación por computadora,6,Elección libre,2021ID,NA
4,ID3468,Herramientas para la gestión de grandes volúmenes de datos,6,Elección libre,2021ID,NA
4,II0423,Métodos numéricos por computadora,8,Elección libre,2021ID,NA
4,ID3471,Realidad virtual,6,Elección libre,2021ID,NA
4,IT3472,Principios de automatización y robótica,6,Elección libre,2021ID,NA
4,NI3431,Marketing en los negocios electrónicos,6,Elección libre,2021ID,NA
4,ID3415,Cómputo ubicuo,6,Elección libre,2021ID,NA
4,ID3472,Tópicos selectos en ingeniería de datos,6,Elección libre,2021ID,NA
4,ID3473,Tópicos selectos en inteligencia organizacional,6,Elección libre,2021ID,NA
4,ID3474,Sistemas de información geográfica,6,Elección libre,2021ID,NA
4,II0422,Taller de emprendedores,6,Elección libre,2021ID,NA
4,ID3475,Programación de dispositivos móviles,6,Elección libre,2021ID,NA
4,ID3476,Algoritmos bioinspirados,6,Elección libre,2021ID,NA
4,ID3477,Tópicos selectos en tecnologías exponenciales,6,Elección libre,2021ID,NA
4,ID3478,Taller de herramientas para ciencia de datos,6,Elección libre,2021ID,NA
4,ID3479,Movilidad 1,6,Elección libre,2021ID,NA
4,ID3480,Movilidad 2,6,Elección libre,2021ID,NA
4,ID3481,Movilidad 3,6,Elección libre,2021ID,NA
4,ID3482,Movilidad 4,6,Elección libre,2021ID,NA
4,ID3483,Movilidad 5,6,Elección libre,2021ID,NA
4,ID3484,Movilidad 6,6,Elección libre,2021ID,NA
4,ID3469,Internet de las cosas,6,Preespecialidad,2021ID,Innovación en TIC
4,ID3416,Diseño multimedia,6,Preespecialidad,2021ID,Innovación en TIC
4,ID3417,Diseño de juegos,6,Preespecialidad,2021ID,Innovación en TIC
4,ID3418,TIC para la educación,6,Preespecialidad,2021ID,Innovación en TIC
4,ID3419,TIC para la salud,6,Preespecialidad,2021ID,Innovación en TIC
4,ID3420,Analítica para la inteligencia de negocios,6,Preespecialidad,2021ID,Inteligencia Organizacional y de negocios
4,ID3421,Gestión del conocimiento,6,Preespecialidad,2021ID,Inteligencia Organizacional y de negocios
4,ID3422,Negocios digitales,6,Preespecialidad,2021ID,Inteligencia Organizacional y de negocios
4,ID3423,Sistemas de apoyo para la toma de decisiones,6,Preespecialidad,2021ID,Inteligencia Organizacional y de negocios
4,ID3424,Visualización de datos,6,Preespecialidad,2021ID,Inteligencia Organizacional y de negocios
1,ID0107,Diseño de patrones para datos estructurados,6,Basica,2021ID,NA
1,ID0108,Física clásica,6,Basica,2021ID,NA
