,clave,Nombre,Maestro,Lunes,Martes,Miercoles,Jueves,Viernes
52,DP0295,Taller de formación en responsabilidad social y ambiental,Cerón Benitez / Mitzi Anayancin,-,-,19:00-21:00,-,20:00-21:00
53,DP0396,Identidad y cultura,Alavez San Pedro / Minerva,-,16:00-18:00,-,-,16:00-17:00
54,IL0204,Estadística analítica,Cruz Pichardo / Felisa,7:00-9:00,-,7:00-9:00,-,-
55,DP0295,Taller de formación en responsabilidad social y ambiental,Cucurachi Durán / Sergio Jesús,-,-,18:00-20:00,-,18:00-19:00
56,DP0295,Taller de formación en responsabilidad social y ambiental,Lugo Hernández / Lizbeth,-,-,17:00-19:00,17:00-18:00,-
57,DP0396,Identidad y cultura,Cucurachi Durán / Sergio Jesús,-,20:00-21:00,-,-,20:00-22:00
58,II0215,Electricidad y magnetismo,Casas De La Cruz / Rosa Guadalupe,11:00-13:00,-,-,13:00-15:00,-
59,II0215,Electricidad y magnetismo,Casas De La Cruz / Rosa Guadalupe,14:00-16:00,-,-,16:00-18:00,-
60,II0216,Termodinámica,Ramírez Carmona / Leslye Johanna,7:00-9:00,-,13:00-15:00,-,-
61,II0216,Termodinámica,Murillo Gómez / Gabriela Margarita,-,16:00-18:00,-,-,18:00-20:00
62,II0218,Cálculo vectorial,Can Tun / Miguel Alberto,-,18:00-20:00,18:00-20:00,-,-
63,IL0204,Estadística analítica,Virgen Suárez / Jarmen Said,-,7:00-9:00,-,7:00-9:00,-
64,IL0204,Estadística analítica,Ortega Espinosa / Viridiana Alhelí,18:00-20:00,-,-,18:00-20:00,-
65,DP0295,Taller de formación en responsabilidad social y ambiental,Blanco Valdés / Santiago,-,13:00-15:00,-,13:00-14:00,-
66,II0422,Taller de emprendedores,Contreras Macossay / Bani Obed,-,9:00-11:00,11:00-12:00,-,-
67,DP0295,Taller de formación en responsabilidad social y ambiental,Lugo Hernández / Lizbeth,-,-,19:00-21:00,-,20:00-21:00
68,DP0295,Taller de formación en responsabilidad social y ambiental,Muñoz Dzib / Melchor Ernesto,-,18:00-19:00,-,-,18:00-20:00
69,PIA0202,Prácticas Profesionales I,García Fernández / Alejandro,-,-,-,-,-
70,IA0307,Gestión ambiental,Sánchez Drewes / Erece,-,-,7:00-9:00,-,7:00-8:00
71,IA0310,Procesos fisicoquímicos,García Rosas / Marina Isabel,-,13:00-15:00,-,13:00-14:00,-
72,IA0412,Calidad del agua,Sánchez Drewes / Erece,7:00-9:00,-,-,9:00-11:00,-
73,IA3428,Energía eólica,Ramírez Carmona / Leslye Johanna,11:00-14:00,-,-,-,-
74,IA3462,SIG para ingeniería ambiental,Muñoz Dzib / Melchor Ernesto,-,-,13:00-15:00,-,14:00-15:00
75,IA3463,Análisis de riesgo e impacto ambiental,Sánchez Drewes / Erece,9:00-11:00,-,-,-,9:00-10:00
76,IA0307,Gestión ambiental,Méndez Torres / Jennifer,15:00-17:00,-,-,15:00-16:00,-
77,IA0310,Procesos fisicoquímicos,Murillo Gómez / Gabriela Margarita,19:00-20:00,-,-,19:00-21:00,-
78,IA0412,Calidad del agua,Duarte Muñoz / Vicente Antonio,20:00-22:00,-,-,-,18:00-20:00
79,IA3418,Geohidrología,Méndez Torres / Jennifer,-,-,-,16:00-18:00,17:00-18:00
80,IA3428,Energía eólica,Romero Medina / Víctor Manuel,-,15:00-16:00,-,-,15:00-17:00
81,IA3431,Abastecimiento y Potabilización del agua,Sulvaran Alpuche / Gibran Jalil Gibran,-,19:00-20:00,20:00-22:00,-,-
82,IA3462,SIG para ingeniería ambiental,Muñoz Dzib / Melchor Ernesto,-,-,-,16:00-18:00,17:00-18:00
83,IA3463,Análisis de riesgo e impacto ambiental,Sánchez Drewes / Erece,-,18:00-19:00,15:00-17:00,-,-
84,II0323,Transferencia de calor,Murillo Gómez / Gabriela Margarita,17:00-19:00,-,17:00-18:00,-,-
85,II0423,Métodos numéricos por computadora,Mejenes Sánchez / Omar,-,16:00-18:00,18:00-20:00,-,-
86,DP0497,Problemas del mundo contemporáneo,Sánchez Novelo / Mariela de Jesús,-,20:00-22:00,-,-,19:00-20:00
87,IA3401,Movilidad I,Hernández Matus / Jessica,-,-,-,-,-
88,DP0498,Problemas de México,Manzo de León / Leonela Paola,20:00-22:00,-,20:00-21:00,-,-
89,II0422,Taller de emprendedores,Treviño Arzápalo / Ángel Alejandro,7:00-9:00,-,7:00-8:00,-,-
90,DP0497,Problemas del mundo contemporáneo,Sánchez Novelo / Mariela de Jesús,20:00-22:00,-,-,17:00-18:00,-
91,DP0396,Identidad y cultura,Alavez San Pedro / Minerva,-,-,19:00-21:00,-,19:00-20:00
92,DP0396,Identidad y cultura,Barragan Garcia / Marco Antonio,-,14:00-16:00,-,-,17:00-18:00
93,DP0497,Problemas del mundo contemporáneo,Sánchez Novelo / Mariela de Jesús,-,18:00-20:00,-,-,20:00-21:00
94,DP0497,Problemas del mundo contemporáneo,Castro Gonzalez / Julieta,-,-,19:00-20:00,-,20:00-22:00
95,PIA0303,Prácticas Profesionales II,García Fernández / Alejandro,-,-,-,-,-
96,IA3401,Movilidad I,Hernández Matus / Jessica,-,-,-,-,-
97,IA3402,Movilidad II,Hernández Matus / Jessica,-,-,-,-,-
98,IA3403,Movilidad III,Hernández Matus / Jessica,-,-,-,-,-
99,IA3404,Movilidad IV,Hernández Matus / Jessica,-,-,-,-,-
100,PIA0303,Prácticas Profesionales II,García Fernández / Alejandro,-,-,-,-,-
101,DP0499,Seminario de investigación,Reyes Miranda / José Felipe,14:00-16:00,-,14:00-15:00,-,-
102,IA0411,Planeación y evaluación de proyectos ambientales,Escandón Aguilar / Juan Antonio,-,-,18:00-20:00,18:00-19:00,-
103,IA0413,Tratamiento de residuos,Palomares Hofmann / Hugo,-,-,15:00-17:00,-,16:00-18:00
104,IA3421,Sistema de tratamiento de agua,Duarte Muñoz / Vicente Antonio,-,20:00-22:00,-,19:00-20:00,-
105,IA3422,Control de emisiones,Murillo Gómez / Gabriela Margarita,20:00-22:00,-,-,-,20:00-21:00
106,IA3426,Eficiencia energética,Pech Moo / Juan Rafael,-,-,-,20:00-22:00,21:00-22:00
107,IA3429,Energía del agua,Bárcenas Graniel / Juan Francisco,-,18:00-20:00,-,17:00-18:00,-
108,II3429,Evaluación de tecnologías e impacto ambiental,Chavez Uribe / Juan Miguel,-,16:00-18:00,-,15:00-16:00,-
109,IL0414,Taller de argumentación y técnicas de negociación,Contreras Macossay / Bani Obed,19:00-20:00,-,20:00-22:00,-,-
110,IT0427,Proyecto terminal,López Monzalvo / Francisco,16:00-19:00,-,-,-,-
111,DP0498,Problemas de México,Díaz Molina / Libertad Fidelina,-,14:00-16:00,-,15:00-16:00,-
112,DP0499,Seminario de investigación,Barragan Garcia / Marco Antonio,16:00-19:00,-,-,-,-
113,DP0498,Problemas de México,Cervera León / José Samuel,-,-,17:00-19:00,16:00-17:00,-
114,DP0499,Seminario de investigación,Reyes Miranda / José Felipe,-,-,-,12:00-13:00,9:00-11:00
115,DP0499,Seminario de investigación,Barragan Garcia / Marco Antonio,-,20:00-22:00,-,20:00-21:00,-
116,IA3401,Movilidad I,Hernández Matus / Jessica,-,-,-,-,-
117,II0422,Taller de emprendedores,Treviño Arzápalo / Ángel Alejandro,7:00-9:00,-,7:00-8:00,-,-
118,DP0498,Problemas de México,Aguilar Hernández / Miguel Ángel,16:00-17:00,-,16:00-18:00,-,-
119,DP0498,Problemas de México,Barragan Garcia / Marco Antonio,-,-,16:00-18:00,-,16:00-17:00
120,DP0499,Seminario de investigación,Reyes Miranda / José Felipe,16:00-18:00,-,18:00-19:00,-,-
121,DP0498,Problemas de México,Manzo de León / Leonela Paola,18:00-20:00,-,-,-,18:00-19:00
122,PIA0405,Prácticas profesionales preespecialidad: Regeneración ambiental,García Fernández / Alejandro,-,-,-,-,-
123,IA3401,Movilidad I,Hernández Matus / Jessica,-,-,-,-,-
124,IA3402,Movilidad II,Hernández Matus / Jessica,-,-,-,-,-
125,IA3403,Movilidad III,Hernández Matus / Jessica,-,-,-,-,-
126,IA3404,Movilidad IV,Hernández Matus / Jessica,-,-,-,-,-
