clave,tasaReprobacion,quintil,cuartil
IE3477,0.041474654377880185,2,2
PIE0405,0.1,4,3
GA3485,0.0898876404494382,4,3
GA3431,0.015151515151515152,1,1
GA3481,0.04878048780487805,2,2
GA3434,0.09236947791164658,4,3
IE3481,0.05921052631578947,3,2
IE3401,0.0,1,1
IE3402,0.0,1,1
IE3403,0.0,1,1
TS3425,0.04887218045112782,2,2
GA3427,0.06201550387596899,3,2
IA3415,0.011111111111111112,1,1
PIE0404,0.2962962962962963,5,4
TS3436,0.0213903743315508,1,1
TS3434,0.030303030303030304,2,1
TS3484,0.023809523809523808,1,1
GA3488,0.019230769230769232,1,1
GA3471,0.04,2,2
PG0203,0.23255813953488372,5,4
PG0301,0.2761904761904762,5,4
GA3497,0.08108108108108109,3,3
IA3419,0.06315789473684211,3,2
NI3402,0.06896551724137931,3,3
NI3401,0.06896551724137931,3,3
NI3403,0.14285714285714285,4,4
NI3434,0.08955223880597014,4,3
IE3435,0.06962025316455696,3,3
IE3479,0.058823529411764705,3,2
IA3422,0.024691358024691357,1,1
IA0411,0.0625,3,2
IA3421,0.014084507042253521,1,1
IA0308,0.15492957746478872,5,4
IA0413,0.0425531914893617,2,2
PIA0302,0.10714285714285714,4,3
IA0410,0.03636363636363636,2,2
PG0101,0.30864197530864196,5,4
GA3469,0.1111111111111111,4,3
PT0302,0.24444444444444444,5,4
GA3495,0.058394160583941604,3,2
IA3423,0.02564102564102564,2,1
IA0309,0.04310344827586207,2,2
IA0412,0.018018018018018018,1,1
IA3427,0.3333333333333333,5,4
IA0414,0.07216494845360824,3,3
IA3425,0.025974025974025976,2,1
IA3420,0.022222222222222223,1,1
IA3418,0.06329113924050633,3,2
TA0027,0.11764705882352941,4,3
IL3420,0.0392156862745098,2,2
IE0315,0.0,1,1
IE0211,0.0,1,1
IE3429,0.0,1,1
IE3469,0.0,1,1
PIL0302,0.05263157894736842,2,2
IL3423,0.02857142857142857,2,1
PI0404,0.16666666666666666,5,4
IA3429,0.0,1,1
GA3403,0.0,1,1
GA3401,0.0,1,1
GA3402,0.0,1,1
TS3402,0.0,1,1
TS3401,0.0,1,1
TS3403,0.0,1,1
PIL0201,0.125,4,4
IE0319,0.3333333333333333,5,4
II3436,0.0,1,1
IA3401,0.1111111111111111,4,3
IA3402,0.0,1,1
IA3403,0.0,1,1
TS3405,0.0,1,1
TS3404,0.0,1,1
PIA0201,0.3333333333333333,5,4
IA3428,0.10714285714285714,4,3
II3403,0.0,1,1
II3401,0.0,1,1
II3402,0.0,1,1
IA3426,0.02631578947368421,2,1
NI3481,0.04411764705882353,2,2
TS0272,0.038461538461538464,2,2
NI0266,0.05128205128205128,2,2
ID0103,0.38608695652173913,5,4
ID0262,0.03571428571428571,2,2
ID0101,0.4153846153846154,5,4
ID0161,0.12871287128712872,4,4
TA0030,0.24444444444444444,5,4
TS0160,0.015384615384615385,1,1
IT0263,0.18781725888324874,5,4
NI3404,0.0,1,1
GA3483,0.06153846153846154,3,2
II3470,0.0,1,1
